filename,true_label,prediction,confidence,snr,prob_bpsk,prob_qpsk,prob_8psk,prob_16qam,prob_64qam,fused_prediction,fused_confidence,fused_correct
16QAM_SNR0_ID1.npy,16QAM,16QAM,0.7252387130339453,0.0,0.026938535386683,0.1454545742748379,0.0190019502806015,0.7252387130339453,0.0833662270239321,16QAM,0.6289377080622879,1
16QAM_SNR0_ID10.npy,16QAM,64QAM,0.7471680569176501,0.0,0.0650837682293742,0.0046137044382302,0.08635109151925,0.0967833788954954,0.7471680569176501,64QAM,0.6583963142022139,0
16QAM_SNR0_ID100.npy,16QAM,16QAM,0.7685765318108638,0.0,0.0137383422046025,0.0910521982356553,0.0071148621858027,0.7685765318108638,0.1195180655630755,16QAM,0.6969915626569955,1
16QAM_SNR0_ID101.npy,16QAM,64QAM,0.5987128053443199,0.0,0.0185778652511716,0.0173755975024588,0.0153339393480729,0.3499997925539767,0.5987128053443199,16QAM,0.510185050466848,1
16QAM_SNR0_ID102.npy,16QAM,16QAM,0.6653714694488143,0.0,0.0657141606487728,0.1819119729318647,0.0524684474815828,0.6653714694488143,0.0345339494889651,16QAM,0.5206617611360436,1
16QAM_SNR0_ID103.npy,16QAM,QPSK,0.5770717311314305,0.0,0.0151704501255126,0.5770717311314305,0.0704699031451468,0.3088122157340194,0.0284756998638905,8PSK,0.6025887126156917,0
16QAM_SNR0_ID104.npy,16QAM,16QAM,0.765818413927176,0.0,0.0484575615084131,0.0612110711858132,0.0110623239679371,0.765818413927176,0.1134506294106604,16QAM,0.6898524589812278,1
16QAM_SNR0_ID105.npy,16QAM,16QAM,0.7237065171232696,0.0,0.0236328410538782,0.1353211106292166,0.0464836873247359,0.7237065171232696,0.0708558438688996,16QAM,0.6099973518962842,1
16QAM_SNR0_ID106.npy,16QAM,16QAM,0.6780763343473961,0.0,0.0462016997074179,0.1647327615943772,0.0601920435728937,0.6780763343473961,0.0507971607779149,16QAM,0.5442219291338412,1
16QAM_SNR0_ID107.npy,16QAM,64QAM,0.5003964684857992,0.0,0.0185707010386314,0.1725748965858833,0.0102309129991436,0.2982270208905423,0.5003964684857992,16QAM,0.5277238867469126,1
