FrameIndex,TrueLabel,Prediction,Correct,Confidence,SNR,prob_bpsk,prob_4psk,prob_8psk,prob_16qam,prob_64qam
1,bpsk,8psk,0,0.283966806220679,0,0,0.251921826734849,0.283966806220679,0.236935771855427,0.227175595189044
2,bpsk,8psk,0,0.292129330977316,0,0,0.251835266222626,0.292129330977316,0.233777664915347,0.222257737884711
3,bpsk,8psk,0,0.288610254037836,0,0,0.251912207658107,0.288610254037836,0.235127639046228,0.224349899257829
4,bpsk,8psk,0,0.285829721754891,0,0,0.251959180299715,0.285829721754891,0.236186779454324,0.226024318491069
5,bpsk,8psk,0,0.28832492699995,0,0,0.252232754358438,0.28832492699995,0.235013748969616,0.224428569671996
6,bpsk,8psk,0,0.287118732983143,0,0,0.251980711401804,0.287118732983143,0.235666872193711,0.225233683421341
7,bpsk,8psk,0,0.285832691110209,0,0,0.252205908292841,0.285832691110209,0.236013606343397,0.225947794253553
8,bpsk,8psk,0,0.290480210152826,0,0,0.252274189051303,0.290480210152826,0.234122716435257,0.223122884360614
9,bpsk,8psk,0,0.286590853564009,0,0,0.251915201218999,0.286590853564009,0.235920251543906,0.225573693673086
10,bpsk,8psk,0,0.288333687059936,0,0,0.252229301161444,0.288333687059936,0.235012615719556,0.224424396059064
11,bpsk,8psk,0,0.287952960089478,0,0,0.25190256727869,0.287952960089478,0.235394049816005,0.224750422815827
12,bpsk,8psk,0,0.284869561056322,0,0,0.252022350825296,0.284869561056322,0.236516990653595,0.226591097464786
13,bpsk,8psk,0,0.289268529622726,0,0,0.251988530478778,0.289268529622726,0.234812655734528,0.223930284163969
14,bpsk,8psk,0,0.28590722852155,0,0,0.251918224959883,0.28590722852155,0.236185301028418,0.22598924549015
15,bpsk,8psk,0,0.284074656022682,0,0,0.251944032202273,0.284074656022682,0.236878649542133,0.227102662232913
16,bpsk,8psk,0,0.286955866117703,0,0,0.251912752404859,0.286955866117703,0.235779039454658,0.225352342022781
17,bpsk,8psk,0,0.286734975672035,0,0,0.251985991447447,0.286734975672035,0.235814514270841,0.225464518609677
18,bpsk,8psk,0,0.285484527954566,0,0,0.251952490313699,0.285484527954566,0.236326264184352,0.226236717547383
19,bpsk,8psk,0,0.285900662537364,0,0,0.251926058758871,0.285900662537364,0.236182303172513,0.225990975531252
20,bpsk,8psk,0,0.284756808090934,0,0,0.251967707026513,0.284756808090934,0.236597717542146,0.226677767340408
21,bpsk,8psk,0,0.290334903426082,0,0,0.251872836071017,0.290334903426082,0.234470201564093,0.223322058938808
22,bpsk,8psk,0,0.28516309521023,0,0,0.251959538426417,0.28516309521023,0.236445881969032,0.226431484394321
23,bpsk,8psk,0,0.2910832442049,0,0,0.251962189880905,0.2910832442049,0.234106575245547,0.222847990668648
24,bpsk,8psk,0,0.289881412803755,0,0,0.251889794903732,0.289881412803755,0.234638838986093,0.22358995330642
