FrameIndex,TrueLabel,Prediction,Correct,Confidence,SNR,prob_bpsk,prob_4psk,prob_8psk,prob_16qam,prob_64qam
1,BPSK,16QAM,0,0.986451613982549,0,0,0,0.006540119141297,0.986451613982549,0.00700826687615351
2,BPSK,16QAM,0,0.986375876734694,0,0,0,0.0065458588451705,0.986375876734694,0.00707826442013519
3,BPSK,16QAM,0,0.986384647023868,0,0,0,0.00657604509616177,0.986384647023868,0.00703930787997076
4,BPSK,16QAM,0,0.979919213936406,0,0,0.00648562196885647,0.00661177430835067,0.979919213936406,0.00698338978638701
5,BPSK,16QAM,0,0.986461381663417,0,0,0,0.00655091307601088,0.986461381663417,0.00698770526057185
6,BPSK,16QAM,0,0.993041651995625,0,0,0,0,0.993041651995625,0.00695834800437462
7,BPSK,16QAM,0,0.979739151781653,0,0,0.00650508465402554,0.00666719829855283,0.979739151781653,0.00708856526576854
8,BPSK,16QAM,0,0.986469012363591,0,0,0,0.00653026525990188,0.986469012363591,0.00700072237650692
9,BPSK,16QAM,0,0.979789023415243,0,0,0.00647708275532773,0.00664536757988638,0.979789023415243,0.00708852624954334
10,BPSK,16QAM,0,0.986366624540876,0,0,0,0.00651156999944174,0.986366624540876,0.00712180545968248
11,BPSK,16QAM,0,0.979793174326421,0,0,0.00650956642248749,0.00662410179384781,0.979793174326421,0.0070731574572437
12,BPSK,16QAM,0,0.986511907704193,0,0,0,0.00652584434020845,0.986511907704193,0.00696224795559901
13,BPSK,16QAM,0,0.986412597176694,0,0,0,0.00655466288659778,0.986412597176694,0.0070327399367085
14,BPSK,16QAM,0,0.9930086916339,0,0,0,0,0.9930086916339,0.00699130836609983
15,BPSK,16QAM,0,0.99294749977289,0,0,0,0,0.99294749977289,0.00705250022710956
16,BPSK,16QAM,0,0.986431882084882,0,0,0,0.00661622289641235,0.986431882084882,0.00695189501870573
17,BPSK,16QAM,0,0.986448217964801,0,0,0,0.00657732525051542,0.986448217964801,0.00697445678468324
18,BPSK,16QAM,0,0.993112436364381,0,0,0,0,0.993112436364381,0.00688756363561935
19,BPSK,16QAM,0,0.986529265499739,0,0,0,0.00654759079245751,0.986529265499739,0.00692314370780325
20,BPSK,16QAM,0,0.979800023631626,0,0,0.00656003971728608,0.00667944198568666,0.979800023631626,0.00696049466540088
21,BPSK,16QAM,0,0.992988124743917,0,0,0,0,0.992988124743917,0.00701187525608274
